layer_idx,best_loss_modified,best_loss_awq,name,,
20,5.0381807467112174e-05,1.2205057562543796e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
20,0.00016368871124891135,3.630146742440187e-05,('mlp.gate_proj', 'mlp.up_proj'),
20,0.0001853039631476769,3.973608120129659e-05,('mlp.down_proj',),
21,4.413838211733561e-05,1.2063720406821142e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
21,0.0001721104750266442,4.1654491080687594e-05,('mlp.gate_proj', 'mlp.up_proj'),
21,0.00016820284609611217,4.2242929339408875e-05,('mlp.down_proj',),
22,3.943660009938937e-05,1.1438898778019043e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
22,0.00019171186364614048,4.794657803498781e-05,('mlp.gate_proj', 'mlp.up_proj'),
22,0.00015698929245655353,4.299206730838005e-05,('mlp.down_proj',),
23,4.9167950279437576e-05,1.3890287552315456e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
23,0.00020705157747635475,5.5386434094263954e-05,('mlp.gate_proj', 'mlp.up_proj'),
23,0.00015430310024664953,4.633496730373456e-05,('mlp.down_proj',),
24,5.1304192927021244e-05,1.5047185409527558e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
24,0.00023976676166057587,6.276265932963445e-05,('mlp.gate_proj', 'mlp.up_proj'),
24,0.00015994947976790942,5.006761505053593e-05,('mlp.down_proj',),
25,5.441870755301072e-05,1.6923596222813312e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
25,0.0002772991473858173,7.114970626739355e-05,('mlp.gate_proj', 'mlp.up_proj'),
25,0.0001936693604175861,5.583831180746739e-05,('mlp.down_proj',),
26,5.564317107200623e-05,1.7166162769381816e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
26,0.0003161079035355495,8.193175666607344e-05,('mlp.gate_proj', 'mlp.up_proj'),
26,0.00020358563902286384,6.20815114906201e-05,('mlp.down_proj',),
27,7.969497774656003e-05,2.2064102813601495e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
27,0.0004073259349052723,9.663049131631851e-05,('mlp.gate_proj', 'mlp.up_proj'),
27,0.00026186899496958806,7.256365452821439e-05,('mlp.down_proj',),
28,0.00012264223052905156,3.320290707051754e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
28,0.0004919181076379923,0.00012271349819806905,('mlp.gate_proj', 'mlp.up_proj'),
28,0.00038335695862770083,0.00010129746336203355,('mlp.down_proj',),
29,0.0003272155156502357,7.607553584071306e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
29,0.0006507812784268305,0.0001538010170826545,('mlp.gate_proj', 'mlp.up_proj'),
29,0.0004744997391333947,0.0001315798323888045,('mlp.down_proj',),
30,0.00040208382102159356,0.00010407962478124179,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
30,0.0010101804366478553,0.00021321885287761688,('mlp.gate_proj', 'mlp.up_proj'),
30,0.0012763085273595957,0.00019244984365426578,('mlp.down_proj',),
31,0.000444765560902082,0.00010076828587513703,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
31,0.0011815428733825684,0.0003163670691160055,('mlp.gate_proj', 'mlp.up_proj'),
31,0.008285586650554951,0.0006004487092678364,('mlp.down_proj',),
